Name,Comment,Time,Likes,Reply Count
Fitra Eri,"Mohon maaf ada kesalahan sebut:<br><a href=""https://www.youtube.com/watch?v=9IuEx6ACJQM&amp;t=6m05s"">6:05</a> yang benar adalah 10 speed<br><a href=""https://www.youtube.com/watch?v=9IuEx6ACJQM&amp;t=8m23s"">8:23</a> yang benar adalah 16 cm",2022-11-21T14:05:09Z,418,50
Bayinullah Bay,Sunroof nya mantab Zenix <br>Mungkin kah ada type sliding doornya nanti nya???,2022-11-23T06:02:21Z,0,0
Nizar Hakim,very butyfull car,2022-11-23T06:01:06Z,0,0
Ario Chandra,banyak x yg dirubah. bisa gak laku nih mobil,2022-11-23T06:00:13Z,0,0
Keshia Angelina,"Alasan utama dan pertama innova laku kan karena diesel, reabilitas, irit kenceng ternyaman. Bisa jadi ini adalah awal kepunahan innova. Jujur exteriornya ganteng dan gagah reborn dari segi manapun.",2022-11-23T05:56:01Z,1,0
Amung Amung,Koreksi kisi2 ac depan kualitas material lbh jelek. Kesan lbh murah. Lbh bagus punya innova reborn. Kisi2 ac bagian dasborb depan,2022-11-23T05:54:47Z,0,0
Amung Amung,Om fitra kalau ngerivew mobil. Jarang menyebutkn mines kekurangan mobil tersebut.kata2 bahasa lbh kaya ke sales penjual. Gk menyebutkan apa ada ya. Kekurang kelebihan kendaran tersebut secara sudut pandang pribadi mao secara umum.,2022-11-23T05:53:34Z,0,0
Sandi77y666 Demiyanto,"Jadi terfokus sama suara adzan meskipun kecil suaranya,suaranya bagus.",2022-11-23T05:47:23Z,0,0
Cak Komed,"SPK gak nih, Bung Fit? Wkwkwk",2022-11-23T05:33:42Z,0,0
AVL GAMING,sudah saatnya upgrade ke teknologi abad 22 stereoQok,2022-11-23T05:32:31Z,0,0
Ricky Orlando,"Pasti ada yg kecewa ,disel hilang, penggerak roda depan..<br><br>Kenapa tak di lanjut saja ya penamaan tsb..<br>Inova,trd,venturer, lanjut ini.. seoalah satu ibu beda beda bapak...😩 padahal dna nya dari toyota itu sendiri",2022-11-23T05:13:49Z,0,0
Farel Hahah,Sayang banget kijang Toyota zenix penggerak depan saat dimedan jalan tanjak makadam dengan cuaca hujan roda belakang selep,2022-11-23T05:05:40Z,0,0
Heri Ginting Lajor,Keren 👍,2022-11-23T05:04:42Z,0,0
Iqbal Tawakkal,Kenapa kok gak make mesin disel lagi yaa. Apa mesin bensin lebih baik dari mesin disel? Dari segi perawatan atau ke iritan,2022-11-23T05:04:35Z,0,0
Eflizar Tanjung,"secara  ketangguhan pasti lebih tagguh yang tipe lama, yang RWD, Toyota buat RWD biar hemat biaya pembuatanya, agar untung makin besar",2022-11-23T05:04:27Z,0,0
Wakil Kapten,Konsumsi BBM nya disukai pengusaha trabel,2022-11-23T05:02:32Z,0,0
agus suhendar,mudah2an bisa kebeli dan ada rezekinya,2022-11-23T05:00:16Z,0,0
Suwir Wong,"Kecewa ama toyota Indonesia ,kenapa ngk full electric aja sich , padahal udah seneng aja waktu itu isunya electric , ngk jadi dapat  plat biru dec😪🤦‍♂️🤦‍♂️. Masa kalah ama mobil china dan korea 😪🤦‍♂️🤦‍♂️padahal ini merk jepang ,masa kalah, bikin malu aja.",2022-11-23T04:46:27Z,0,0
dickprat channel,"Opini pribadi minus di lampu belakang nya saja, tp kalo udah liat di jalan mungkin opini bisa beda lagi",2022-11-23T04:40:27Z,0,0
MATA MERAH,Seri terbaik kijang menurut saya :<br>- kijang Grand Extra<br>- kijang Lgx /kapsul<br>- kijang innova Venturer<br>Produksi terbaik kijang sepanjang sejarah.<br>Kijang memang gak ada duanya 👍,2022-11-23T04:37:38Z,3,0
Ainun Syah,Mobil lama tp keluaran trbaru byk di buat mirip mobil pajero bentuknya..aneh,2022-11-23T04:25:25Z,0,0
Bang arios,Halo wuling.. karna mu pabrikan jepang ketar ketir😂,2022-11-23T04:24:15Z,0,0
Jack Sparrow,Innova FWD 🙄 lama2 fortuner pun jadi FWD...,2022-11-23T04:21:01Z,0,0
Lucky Widiyanto,Design ekterior nya asa lebh gagah yg generasi sebelumnya🤔,2022-11-23T04:20:47Z,0,0
Nengah Wirayasa,Membuat semakin mantap orang untuk memilih wuling confero db dg harga cuma 160 jt,2022-11-23T04:19:11Z,0,0
Nengah Wirayasa,Selamat. Kijang rwd akan semakin dicari.,2022-11-23T04:16:30Z,0,0
abi SANTOSO,Bagus sekali,2022-11-23T04:12:55Z,0,0
ONTHEROAD2828,Ini seperti voxy yg di buat model innova😅,2022-11-23T04:08:40Z,0,0
JALAN PANJANG,Pantesan toyota no 1 didunia penjualannya,2022-11-23T04:07:28Z,0,0
indra Sofyan,Pada hal dieselnya josh banget tenaganya model terbaru ga keluar diesel,2022-11-23T04:03:44Z,0,0
Rockmoon Gaming,Tetep aja Innova Venturer yg idamanku,2022-11-23T04:01:27Z,0,0
Prisma Soe,Apa cuma gua yang denger suara adzan?,2022-11-23T04:00:16Z,0,0
Sry Wulandari,"Allahu Akbar, dalam mimpi aja bisa beli mobil ini. 4jt aja ngga duwe apa lagi 400. Padahal anak ku kalau dibawa naik mobil girangnya minta ampun. Bapaknya ngaduk semen tiap hari dan mamaknya nyetak kue tiap hari tetap ngga bisa kebeli mobil.",2022-11-23T03:53:01Z,0,0
LeaAndrea Anwar,Dashboard mirip2 expander,2022-11-23T03:47:58Z,0,0
Opposite Quotes Bijak,Pengen naik kijang baru,2022-11-23T03:42:01Z,0,0
Adam Jenggot,Syg banget ya pake penggerak depan.bagi aku ini agak sulit untuk di pake di daerah Yg agak pedalaman.<br>Apalagi kayak aku yg tinggal Di kalimantan,2022-11-23T03:39:54Z,0,0
