id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1605455380418813952,Wed Dec 21 06:49:25 +0000 2022,"<a href=""https://www.jakartakerja.com"" rel=""nofollow"">JakartaKerja.com</a>","LOKER JAKARTA TERBARU: Cook - Cashier di SL/CED Pizzeria
#lokerjakarta #lowongankerjajakarta #loker #jakarta #jabodetabek
https://t.co/agXJylucSs",loker jakarta terbaru cook cashier sl ced pizzeria,in,0,0,jktkerja,False,"lokerjakarta, lowongankerjajakarta, loker, jakarta, jabodetabek",,"DKI Jakarta, Indonesia",
1605454391607144448,Wed Dec 21 06:45:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Menteri Pertanian @Syahrul_YL : ""Event ini adl memperlihatkan bagaimana kekayaan perkebunan Indonesia mulai dr budidaya hingga pasca panen, dan kemampuan perkebunan mengangkat negara Indonesia di tengah pandemi Covid19 ini"". https://t.co/5kWgIMsRJ8",menteri pertanian event adl kekayaan perkebunan indonesia dr budidaya hingga pasca panen kemampuan perkebunan mengangkat negara indonesia pandemi covid,in,0,0,DistanbunJateng,False,,Syahrul_YL,"Ungaran, Indonesia",
1605454214293061633,Wed Dec 21 06:44:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jadi Capres unggulan, Pak Sandiaga Uno ingin memberikan lebih👏
#sandiagauno #sandiuno #Twitter #Trending #VideoViral #Video #Indonesia #politik  #Jakarta  #BreakingNews Di 2023 #thursdayvibes Rabu #capres2024 #pemilu2024
#PemiluSerentak2024 https://t.co/h2yCuF7g8r",capres unggulan sandiaga uno rabu,in,0,0,emakemaksandi,False,"sandiagauno, sandiuno, Twitter, Trending, VideoViral, Video, Indonesia, politik, Jakarta, BreakingNews, thursdayvibes, capres2024, pemilu2024, PemiluSerentak2024",,,
1605453868510633984,Wed Dec 21 06:43:24 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ternyata ini Capres 2024 Prediksi Pak Jokowi... 

#sandiagauno #sandiuno #Twitter #Trending #VideoViral #Video #Indonesia #politik  #Jakarta  #BreakingNews Di 2023 #thursdayvibes Rabu #PresidenJokowi #Jokowi #capres2024 #pemilu2024
#PemiluSerentak2024 https://t.co/xGeJIQ3Np9",capres prediksi jokowi rabu,in,0,0,GuysSandi,False,"sandiagauno, sandiuno, Twitter, Trending, VideoViral, Video, Indonesia, politik, Jakarta, BreakingNews, thursdayvibes, PresidenJokowi, Jokowi, capres2024, pemilu2024, PemiluSerentak2024",,,
1605453142530744320,Wed Dec 21 06:40:31 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Presiden Joko Widodo membuka kemungkinan pada akhir tahun ini pemerintah akan memberhentikan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) di seluruh Indonesia. #EraBaruHidupSimpel #ppkm #COVID19 #JokowiMajuBersamaIndonesia https://t.co/GDOBjLz68x,presiden joko widodo membuka pemerintah memberhentikan pemberlakuan pembatasan masyarakat ppkm indonesia,in,1,0,apahabarjakarta,False,"EraBaruHidupSimpel, ppkm, COVID19, JokowiMajuBersamaIndonesia",,Jakarta,
1605452310049849345,Wed Dec 21 06:37:13 +0000 2022,"<a href=""https://www.jakartakerja.com"" rel=""nofollow"">JakartaKerja.com</a>","LOKER JAKARTA TERBARU: Nail Technician di The Buffers Club
#lokerjakarta #lowongankerjajakarta #loker #jakarta #jabodetabek
https://t.co/Z7kJ2MOT5e",loker jakarta terbaru nail technician buffers club,in,0,0,jktkerja,False,"lokerjakarta, lowongankerjajakarta, loker, jakarta, jabodetabek",,"DKI Jakarta, Indonesia",
1605452137860694016,Wed Dec 21 06:36:32 +0000 2022,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",jasa pasang Branding Sticker Bus Kota https://t.co/6tz67wcj81 #jakarta #jkt #banten,jasa pasang branding sticker bus kota,tl,0,0,BengkelAkrilik,False,"jakarta, jkt, banten",,Tangerang,
1605452068294381568,Wed Dec 21 06:36:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Work
hy im Michelle Lee

#transpuan #transwoman #transgender #jakarta #chinese for friend https://t.co/G4x0aMDamy",workhy im michelle lee for friend,en,2,0,MissMichelleLe2,False,"transpuan, transwoman, transgender, jakarta, chinese",,,
1605451522535747584,Wed Dec 21 06:34:05 +0000 2022,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PPKM dan PSBB Akan Dicabut, Jokowi Segera Siapkan Keppres https://t.co/E3aumXJfgh",ppkm psbb dicabut jokowi siapkan keppres,in,0,0,21BeritaTerkini,False,,,,
1605451267500675073,Wed Dec 21 06:33:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Patria Park Apartment

# - Alamat : Jl. DI. Panjaitan No.Kav 5-7, RT.5/RW.11, Cawang, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340

Kontak : 
081282810009
081368242563

#apartment #sewaapartment #sewaapart #jakarta #bonzela #bonzelaproperty https://t.co/zUOSeq6pgl",patria park apartment alamat jl panjaitan kav rw cawang kecamatan jatinegara kota jakarta timur daerah ibukota jakarta kontak,in,0,0,BonzelaP,False,"apartment, sewaapartment, sewaapart, jakarta, bonzela, bonzelaproperty",,,
1605451209757712385,Wed Dec 21 06:32:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @republikaonline: Met shalat Maghrib sobat Republika.... 

Jangan pernah melewatkan shalat. Karena ada jutaan manusia di alam kubur yang…",met shalat maghrib sobat republika melewatkan shalat jutaan manusia alam kubur,in,0,2,SigitKusumanto,,,republikaonline,Jakarta Indonesia,
1605450846761689093,Wed Dec 21 06:31:24 +0000 2022,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",Mau Pesan Akrilik frame Poster? cek https://t.co/cbqt0Cb3WM #jakarta #tangerang #BSD #serpong #bintaro #ciledug,pesan akrilik frame poster cek,in,0,0,jakbuzzer,False,"jakarta, tangerang, BSD, serpong, bintaro, ciledug",,,
