id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1596153513603919873,Fri Nov 25 14:47:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ActuFootAfrique: BUUUUUUUUUUUUUTTTTTT DE BAMBAAAAA DIENGGGGG !!!!

🇶🇦 Qatar 1-3 SÉNÉGAL 🇸🇳 https://t.co/DEzGdYPDza",buuuuuuuuuuuuutttttt adik bambaaaaa dienggggg qatar sngal,fr,0,0,Cha0309Cha,False,,ActuFootAfrique,"Ile-de-France, France",
1596153511749636096,Fri Nov 25 14:47:06 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Qatar #Senegal  #QatarvsSenegal #FIFAWorldCupQatar2022 #WorldCup2022

🎥Live Stream

📺Qatar vs Senegal

🔴Live Link▶️ https://t.co/erv2VJZWnU
🔴Live Link▶️ https://t.co/erv2VJZWnU
🔴Live Link▶️ https://t.co/erv2VJZWnU

FIFA World Cup Qatar 2022 🏆

zrtupn",streamqatar vs senegallive link link link world cup qatar zrtupn,en,0,68,ys_phaththi,False,"Qatar, Senegal, QatarvsSenegal, FIFAWorldCupQatar2022, WorldCup2022",,,
1596153507148550145,Fri Nov 25 14:47:05 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Qatar vs Senegal
https://t.co/t2zwsjWfuq https://t.co/7RNM4A9jQ9",qatar vs senegal,in,0,0,Soccer_livestv,False,,,new york,
1596153503533223936,Fri Nov 25 14:47:04 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",qatar c’pas ouf,qatar cpas ouf,fr,0,0,ehmerci_,,,,Qatar,
1596153499213271041,Fri Nov 25 14:47:03 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thenanaaba: 🤣🤣🔥🔥🤣 finaaaally oooo Qatar 

Ghana boy",finaaaally oooo qatar ghana boy,en,0,46,cbreaktv,,,thenanaaba,,
1596153495077285889,Fri Nov 25 14:47:02 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @McinikaWaLamar: #AD 
Je wewe ni shabiki mkuu wa soka kama mimi?

Yes ijumaa Nov 25 usikose #ShangweLaMabingwa kuangalia mechi za Qatar…",je wewe shabiki mkuu wa soka kama mimi yes ijumaa nov usikose kuangalia mechi za qatar,in,0,0,Mkushiiii,,"AD, ShangweLaMabingwa",McinikaWaLamar,"Dar es Salaam, Tanzania",
1596153490576900096,Fri Nov 25 14:47:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Jason_gh1: Now Qatar make I understand the “money can’t buy happiness” statement.,now qatar make i understand money cant buy happiness statement,en,0,0,Kwesiblack__,,,Jason_gh1,Abeka/Ghana/West Africa.,
1596153486659428353,Fri Nov 25 14:47:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @EPreve: 🔴Europa deploró las muertes en la construcción de los estadios de Qatar y aseguró que la FIFA debe contribuir a compensar a las…,europa deplor las muertes en construccin adik los estadios adik qatar asegur que fifa debe contribuir a compensar a las,es,0,0,fefalbornoz,,,EPreve,,
1596153482318602240,Fri Nov 25 14:46:59 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ActuFoot_: ⚽️ BUUUUUUUUUTT DE BAMBA DIEEEEENG !!!
 
QATAR 🇶🇦  1-3  🇸🇳 SÉNÉGAL https://t.co/SajDC2i1l9",buuuuuuuuutt adik bamba dieeeeeng qatar sngal,fr,0,1,enesprit135,False,,ActuFoot_,"Marseille, Oran",
1596153478228893697,Fri Nov 25 14:46:58 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",De ultra’s van #Qatar gaan los hoor. #QATSEN #QatarWorldCup2022,adik ultras van gaan los hoor,nl,0,0,MerlinVeg,,"Qatar, QATSEN, QatarWorldCup2022",,"Utrecht, Nederland",
1596153474089385984,Fri Nov 25 14:46:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3-1 ALLEZ BYE LE QATAR,allez bye le qatar,fr,0,68,duatleti,,,,future nostalgia,
1596153469790224385,Fri Nov 25 14:46:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gooool do Senegal!

Senegal 3x1 Qatar",gooool do senegal senegal x qatar,es,0,2955,futdepre01,,,,"Paris, France",
1596153465780449280,Fri Nov 25 14:46:55 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",It's over for Qatar,it s over for qatar,en,0,0,ahmad_rmfc,,,,,
1596153461309337600,Fri Nov 25 14:46:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TrollFootball: Qatar has scored a WORLD CUP goal https://t.co/KLC4MzMBgo,qatar has scored a world cup goal,en,0,0,lewiotieno,False,,TrollFootball,Nbi.,
1596153457261805568,Fri Nov 25 14:46:53 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It’s over qatar,its over qatar,en,0,0,Situusituu,,,,,
1596153453159411712,Fri Nov 25 14:46:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Poor Qatar 🤣🤣🤣 💰,poor qatar,hi,0,1186,blitzkrieg71_,,,,Punjab,
1596153448994832384,Fri Nov 25 14:46:51 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HAHAHAHAHAHHAHAHAHHAHAHAHAHHAHAHAHHAH QATAR HOLDDDDDDD,hahahahahahhahahahhahahahahhahahahhah qatar holddddddd,tl,0,0,CristopherGOAT,,,,🇮🇱,
1596153444725063683,Fri Nov 25 14:46:50 +0000 2022,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @yvuhh5c: UP NOW 🎥 L_._._i_v_e S_.._tr___eam  ♋

🙇🏿 qatar vs senegal

👀 from here :

🔗 Live 1 : @cup__2022 

🔗 Live 2 : @cup__2022 

#FI…",up now l i v e s tr eam qatar vs senegal from here live live,en,0,86,AzizJoannie,,,"yvuhh5c, cup__2022, cup__2022",,
1596153440606076930,Fri Nov 25 14:46:49 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Da yo quería el empate de qatar,da quera el empate adik qatar,es,0,60,PrisStephanie15,,,,Alsina y Bochini,
