id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1606992735202050048,Sun Dec 25 12:38:19 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @andhikamppp: Karena masih belum ada yang ngajakin arisan #WorldCup2022 . Iseng cari tools yang gampang.
Dan, inilah tutorial bagi-bagi…",ngajakin arisan iseng cari tools gampang tutorial,in,0,148,ALO_RHL,,WorldCup2022,andhikamppp,"Depok, Jawa Barat",
1606991019928608768,Sun Dec 25 12:31:30 +0000 2022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tanpa juara Piala Dunia pun, Messi sudah sejajar dengan Pele dan Maradona.

#EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia

https://t.co/8mreQqqIeN",juara piala dunia messi sejajar pele maradona,in,0,0,bolacomID,False,"EmtekWorldCup2022, BolacomWorldCup2022, PialaDunia2022, PialaDunia",,Indonesia,
1606989939216093187,Sun Dec 25 12:27:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,ARmadillo_212,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,"Surakarta, Jawa Tengah",
1606989935126663169,Sun Dec 25 12:27:11 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @IrsatOfficial: @SiaranBolaLive Kayanya orang yang jelek jelekin qatar cuma orang barat yang iri kalo Pildun diselanggarain di Asia deh…,kayaknya jelek jelekin qatar barat iri pildun diselanggarain asia deh,in,0,3,__irawan__,,,"IrsatOfficial, SiaranBolaLive",,
1606989727873527809,Sun Dec 25 12:26:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Gargi32354857: Thanks so much  🙏🏽🙏🏽🙇🏼‍♀️💃🏽🎉
We all must 
#ScoreForSoil 
#SaveSoil 
#SauvonsLesSols 
#WorldcupQatar2022 
#WorldCup  
#Wo…",terima kasih so much we all must,en,0,88,KRISHNAVALA11,,"ScoreForSoil, SaveSoil, SauvonsLesSols, WorldcupQatar2022, WorldCup",Gargi32354857,,
1606988472568381441,Sun Dec 25 12:21:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","دین کا کام صرف اللّٰہ کی توفیق سے
#خاتم_النبیین_محمّدﷺّ 
#اردو_زبان 
#اردو_ادب 
#ستارے_صحابہ
#SearchTheTruth 
#PakistanZindabad 
#PakistanCricket 
#WorldCup2022 
#WorldcupQatar2022 
#Trueislam https://t.co/SP6y7rOlLa",,ur,0,0,Muslims7373,False,"خاتم_النبیین_محمّدﷺّ, اردو_زبان, اردو_ادب, ستارے_صحابہ, SearchTheTruth, PakistanZindabad, PakistanCricket, WorldCup2022, WorldcupQatar2022, Trueislam",,,
1606981323671076864,Sun Dec 25 11:52:58 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,AntoCungkring2,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,,
1606979138900099072,Sun Dec 25 11:44:17 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @IrsatOfficial: @SiaranBolaLive Kayanya orang yang jelek jelekin qatar cuma orang barat yang iri kalo Pildun diselanggarain di Asia deh…,kayaknya jelek jelekin qatar barat iri pildun diselanggarain asia deh,in,0,3,mfirsan,,,"IrsatOfficial, SiaranBolaLive",,
1606977282807324673,Sun Dec 25 11:36:55 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@FaktaSepakbola Karena Giroud nenek buyutnya asli Italia. Orang Italia baik &amp; ramah. Karena itu juga mereka kasih kesempatan anak cucunya, Argentina juara Pildun 2022 dgn gak sengaja gak lolos ke Qatar. Teorinya udah benar belum, was? @SerieA_Lawas",giroud nenek buyutnya asli italia italia amp ramah kasih kesempatan anak cucunya argentina juara pildun tidak sengaja tidak lolos qatar teorinya benar was,in,0,0,creepylogy_,,,"FaktaSepakbola, SerieA_Lawas","Denpasar Selatan, Indonesia",
1606976244993908738,Sun Dec 25 11:32:47 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,ayuprdita,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,"Magelang Selatan, Indonesia",
1606975161173159936,Sun Dec 25 11:28:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How sick!

#Qatar2022 #QatarWorldCup2022 #WorldcupQatar2022 #WorldCup2022 
#Messi https://t.co/IZWTfPgtav",how sick,en,0,0,_Kabir_Ali_,False,"Qatar2022, QatarWorldCup2022, WorldcupQatar2022, WorldCup2022, Messi",,,
1606974405233770496,Sun Dec 25 11:25:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @IrsatOfficial: @SiaranBolaLive Kayanya orang yang jelek jelekin qatar cuma orang barat yang iri kalo Pildun diselanggarain di Asia deh…,kayaknya jelek jelekin qatar barat iri pildun diselanggarain asia deh,in,0,3,berlin_scofield,,,"IrsatOfficial, SiaranBolaLive","Toledo, Spain",
1606973346679513091,Sun Dec 25 11:21:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DealovaAbimanyu @R_min80 @aniesbaswedan Tuh jelas2 narasi penuh ketololan msh sj dipercaya n dishare. 
Pertama ingat2 dulu kpn final Pildun QATAR, lalu simak kpn cuitan anies tsb ditulis. Dr situ sj yg cuit pertama sdh jelas top ngawurnya. Selain itu apa g bisa bedain gambar asli atau editan ?",tuh narasi penuh ketololan dipercaya dishare ingat final pildun qatar simak cuitan anies tsb ditulis dr situ cuit sdh top ngawurnya g bedain gambar asli editan,in,0,0,komputer_fajar,,,"DealovaAbimanyu, R_min80, aniesbaswedan",,
1606972207611392002,Sun Dec 25 11:16:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@SiaranBolaLive Pildun berkesan untuk gw 2002 &amp; 2022..
Qatar best !",pildun berkesan amp qatar best,in,0,0,alam_uchiha,,,SiaranBolaLive,Indonesia,
1606972161226326016,Sun Dec 25 11:16:33 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup  #Qatar2022 #betwinnerindonesia https://t.co/OMt1uNf5EX",lionel messi,in,0,0,Betwinnerid,False,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022, betwinnerindonesia",,,
1606967407624728576,Sun Dec 25 10:57:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,aahmaadi_,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,BDL,
1606964140412899331,Sun Dec 25 10:44:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: Trezeguet menyayangkan kekalahan Prancis. Tetapi sebagai seseorang yang juga memiliki darah Argentina, ia mengaku Messi dkk pa…",trezeguet menyayangkan kekalahan prancis memiliki darah argentina mengaku messi dan kawan-kawan pa,in,0,6,________alyyssa,,,GOAL_ID,,
1606962582270930944,Sun Dec 25 10:38:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: Trezeguet menyayangkan kekalahan Prancis. Tetapi sebagai seseorang yang juga memiliki darah Argentina, ia mengaku Messi dkk pa…",trezeguet menyayangkan kekalahan prancis memiliki darah argentina mengaku messi dan kawan-kawan pa,in,0,6,amaro_sobri,,,GOAL_ID,,
1606962525979181058,Sun Dec 25 10:38:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,amaro_sobri,,PialaDunia2022,GOAL_ID,,
1606962350913093632,Sun Dec 25 10:37:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pipihfiles: Pildun Qatar 2022 adalah penyelenggaraan terbaik sepanjang sejarah. Di dalam lapangan tercatat rekor gol terbanyak &amp; di lua…,pildun qatar penyelenggaraan terbaik sejarah dalam lapangan tercatat rekor gol amp lua,in,0,3,sofianrohman,,,pipihfiles,indonesia,
1606962032930349056,Sun Dec 25 10:36:19 +0000 2022,"<a href=""https://era.id/"" rel=""nofollow"">Era.ID</a>",Belom bisa move on dari pildun nih https://t.co/ej3M3halhy,move on pildun,in,0,0,eradotid,False,,,Jakarta Capital Region,
1606959401612750849,Sun Dec 25 10:25:51 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Event Parlay 4 Tim Berkah365
Syarat &amp; Ketentuan : 
- Berlaku untuk semua member Berkah365
- Wajib 4 tim - Stake 100K/200K/300K - Odds min. 1.80
- Jenis pasangan HDP &amp; O/U (HT FULL atau FT FULL) tidak boleh campur

#pialadunia2022 #promoparlayberkah365 #berkah365 #prediksiparlay https://t.co/fx5sYvmeTH",event parlay tim berkah syarat amp ketentuan berlaku member berkah wajib tim stake odds min pasangan hdp amp o ht full ft full tidak campur,in,1,0,slotberkah365,False,"pialadunia2022, promoparlayberkah365, berkah365, prediksiparlay",,Jakarta,
1606959089799827458,Sun Dec 25 10:24:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pipihfiles: Pildun Qatar 2022 adalah penyelenggaraan terbaik sepanjang sejarah. Di dalam lapangan tercatat rekor gol terbanyak &amp; di lua…,pildun qatar penyelenggaraan terbaik sejarah dalam lapangan tercatat rekor gol amp lua,in,0,3,Artashir_,,,pipihfiles,,
1606955914623582208,Sun Dec 25 10:12:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#QatarWorldCup2022 #Qatar2022 #Quito #QuaiNetwork #QatarWorldCup #quackityfanart #quotes #WinterStorm #WorldcupQatar2022 #WorldCup2022 #WhiteGirl #whamageddon #WeStandWithMegan #Ethereum #EmilyInParis #Eraserheads2022 #Evri #Enflasyon #EXO #RebornRichEp15 #art #RIPMampintsha #Job https://t.co/MYwQWjndqV,,und,0,0,ShresthaTiwari4,False,"QatarWorldCup2022, Qatar2022, Quito, QuaiNetwork, QatarWorldCup, quackityfanart, quotes, WinterStorm, WorldcupQatar2022, WorldCup2022, WhiteGirl, whamageddon, WeStandWithMegan, Ethereum, EmilyInParis, Eraserheads2022, Evri, Enflasyon, EXO, RebornRichEp15, art, RIPMampintsha, Job",,,
1606954286440939522,Sun Dec 25 10:05:32 +0000 2022,"<a href=""http://fajar.co.id/"" rel=""nofollow"">FAJAR.CO.ID</a>",Wasit Final Piala Dunia 2022 Akui Bikin Kesalahan yang Rugikan Prancis https://t.co/Sf96dfz8Yv #FinalPialaDunia2022 #PialaDunia2022 #SzymonMarciniak,wasit final piala dunia akui bikin kesalahan rugikan prancis,in,1,0,fajaronline,False,"FinalPialaDunia2022, PialaDunia2022, SzymonMarciniak",,"Jakarta, Indonesia",
1606953873230692352,Sun Dec 25 10:03:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,amaro_sobri,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,,
1606952873564459008,Sun Dec 25 09:59:55 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YareY4r3Daze: Lengkap, all Goals #FIFAWorldCup, yg akhirnya dijuarai oleh Argentina, total 172 goal, rekor terbanyak dalam satu turname…",lengkap all goals dijuarai argentina total goal rekor dalam turname,in,0,29,Junna_id,,FIFAWorldCup,YareY4r3Daze,"Bali, Indonesia",
1606949873550491648,Sun Dec 25 09:48:00 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pola andalan dari penonton enak banget buat dapat profit

☞ https://t.co/31dMz0tKiG

#rtpslotgacor #pragmaticplay #malang #riau #likeforlike #rtpslot #fypage #slotgacor  #pialadunia2022 #fff #lfl #slotgacorhariini #fyp #palembang #bandung #medan #jakarta #surabaya #lampung https://t.co/tSehNPJtEF",pola andalan penonton enak banget profit,in,0,0,Slotasiabet2,False,"rtpslotgacor, pragmaticplay, malang, riau, likeforlike, rtpslot, fypage, slotgacor, pialadunia2022, fff, lfl, slotgacorhariini, fyp, palembang, bandung, medan, jakarta, surabaya, lampung",,DKI Jakarta,
