id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1602648680783282177,Tue Dec 13 12:56:35 +0000 2022,"<a href=""https://www.interfima.org"" rel=""nofollow"">InsurTrek</a>","RT @VeilleCyber3: An #AI-Stretch Of The #Imagination 
https://t.co/7Bzd6d50uJ

#cryptocurrencies #MachineLearning #AI #Python #DeepLearning…",an stretch of,en,0,3,Insurtrek,False,"AI, Imagination, cryptocurrencies, MachineLearning, AI, Python, DeepLearning",VeilleCyber3,Global,
1602648623199707140,Tue Dec 13 12:56:22 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#ChatGPT にソートなぞなぞは早かったか．もう少し具体例を与えれば，もしかするかもしれないが． https://t.co/ACEYFLJgTs,,ja,0,0,hamukichi_nbr,False,ChatGPT,,,
1602648503712350209,Tue Dec 13 12:55:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @blobyblo: we told #ChatGPT to write a rap in the style of Epik High https://t.co/JKer8RHdzo,we told to write a rap in style of epik high,en,0,214,leehami7407,False,ChatGPT,blobyblo,"Oxford, England",
1602648440701210625,Tue Dec 13 12:55:38 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Catlin_Tucker: How Disruptive Will ChatGPT Be? It Depends...

Everyone in #education is talking about #ChatGPT. Many articles &amp; podcast…",how disruptive will chatgpt be it depends everyone in is talking about many articles amp podcast,en,0,2,ElGovEcon,,"education, ChatGPT",Catlin_Tucker,Ohlone-Costanoan@EsselenNation,
1602648399198797824,Tue Dec 13 12:55:28 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Having a website can be beneficial 
A website allows you to establish an online presence for your business or personal brand.This can help you reach a wider audience and make it easier for people to find and learn more about you. 
ChatGPT #millionairesoutbreak #ChatGPT",having a website be beneficial a website allows you to establish an online presence for your business or personal brand this help you reach a wider audience and make it easier for people to find and learn more about you chatgpt,en,0,1,DapinTech,,"millionairesoutbreak, ChatGPT",,Kenya,
1602648377812029440,Tue Dec 13 12:55:23 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","First, we asked #ChatGPT about how it got into testing &amp; optimization.

It honestly told us that it has no personal experience or expertise in the field, so let's take what it says next with a grain of salt 😂.",first we asked about how it got into testing amp optimization it honestly told us that it has personal experience or expertise in field so let s take what it says with a grain of salt,en,0,1,Convert,,ChatGPT,,California,
1602648331213119488,Tue Dec 13 12:55:12 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#ChatGPT 
@nhk_news ツイート文から
#明太子 #ロシア #輸入
 
※誤った情報を生成することがあります。
※有害な指示や偏った内容を生成する可能性があります。
※2021年以降限られた知識によるものです。
※私自身の意見によらず、そのままツイートしています。 https://t.co/zdFNDXPcUn https://t.co/iaMBjZVqoM",,ja,0,0,MrPagaia,False,"ChatGPT, 明太子, ロシア, 輸入",nhk_news,日本,
1602648323697041415,Tue Dec 13 12:55:10 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Day1Degen: Love messing around with #ChatGPT. Honestly, could this wipe out personal trainers / workout courses 😭. 

Wait til the end.…",love messing around with honestly could this wipe out personal trainers workout courses wait til end,en,0,1,shark67240,,ChatGPT,Day1Degen,"Gers, Midi-Pyrénées",
1602648307225993218,Tue Dec 13 12:55:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MichaPallesche: Wenn eine KI #chatGPT grundlegende Probleme des aktuellen Schulsystems erklärt und dabei in Sekunden den Finger in die…,wenn eine ki grundlegende probleme des aktuellen schulsystems erklrt und dabei in sekunden den finger in die,de,0,39,JasperKerstin,,chatGPT,MichaPallesche,,
1602648300921946113,Tue Dec 13 12:55:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CPasaHasan: Bu👇 Yapay Zekâ Proğramına ""Allah'a ermek/Allah'ı tanımak nedir"" diye sorunca, dîn eğitimi almış bir çok insandan bile daha…",bu yapay zek proramna allah a ermek allah tanmak nedir diye sorunca dn eitimi alm bir ok insandan bile daha,tr,0,33,EnverOrman7,,,CPasaHasan,,
